TNS Name,RA,DEC,Host Name,Host Redshift,Disc. Internal Name,Discovery Mag/Flux,Discovery Date (UT)
AT 2018jgt,03:01:54.503,+05:53:50.80,Unknown,,GSNST 2018-an,17.88,2018-12-01 01:41:17.000
AT 2018jgb,00:14:17.224,+02:46:08.56,2MASX J00141721+0246089,,GSNST 2018-al,16.57,2018-11-28 23:28:19.000
AT 2018ikj,00:15:22.875,+16:34:47.10,Unknown,,GSNST 2018-al,17.71,2018-11-11 22:39:38.000
AT 2018hwq,00:42:47.540,+41:17:19.40,M31,0.001,GSNST 2018-ak,17.11,2018-11-06 08:25:29.000
AT 2018hvv,00:43:24.071,+41:15:31.17,M31,-0.001,GSNST 2018-aj,18.37,2018-11-05 09:27:30.000
AT 2018hfn,03:18:35.393,+41:40:01.03,2MFGC 2715,0.025852,GSNST 2018-ah,14.95,2018-10-09 05:23:49.000
AT 2018hce,20:54:29.500,-51:22:59.01,Unknown,,GSNST 2018-ag,18.06,2018-10-04 02:28:44.000
AT 2018grn,22:16:49.246,+35:36:31.11,Anonymous,,GSNST 2018-af,19.84,2018-09-19 06:38:52.000
AT 2018grm,03:58:45.145,+42:29:00.87,Unknown,,GSNST 2018-ae,19.56,2018-09-19 05:35:31.000
AT 2018ftn,01:25:17.870,+09:39:00.06,Unknown,,GSNST 2018-ad,17.29,2018-09-04 09:37:26.000
AT 2018fhy,00:43:10.534,+41:16:56.71,M31,-0.001,GSNST 2018-ac,17.89,2018-08-21 03:34:33.000
